source_filename,csv_filename,total_rows,valid_predictions,accuracy,precision,recall,f1,mae,rmse,pearson,spearman,predicted_mean,actual_mean,derived_pairwise_accuracy,output_folder
appceleratorstudio,openai_pairwise_zero_shot_appceleratorstudio_pairwise_20260217_133253.csv,2919,2919,0.6276121959575197,0.6280849390000888,0.6273439810706891,0.6269605582248186,0.7447756080849606,1.220471718709582,0.25542784536904123,0.25542784536904095,0.0763960260363138,0.007194244604316547,,/Users/macab/Documents/StoryPoint/research questions/RQ3_ZeroShot_Comparative/openAI/appceleratorstudio_pairwise
aptanastudio,openai_pairwise_zero_shot_aptanastudio_pairwise_20260217_133253.csv,829,829,0.6031363088057901,0.6037128626047914,0.6032577062767741,0.6027455521327187,0.7937273823884198,1.2599423656567945,0.206970068405738,0.20697006840573814,0.06634499396863691,-0.0036188178528347406,,/Users/macab/Documents/StoryPoint/research questions/RQ3_ZeroShot_Comparative/openAI/aptanastudio_pairwise
bamboo,openai_pairwise_zero_shot_bamboo_pairwise_20260217_133253.csv,521,521,0.5489443378119002,0.5537925465095412,0.5532462918554045,0.5486184077125845,0.9021113243761996,1.343213552921649,0.10703744449663312,0.10703744449663313,-0.12092130518234165,0.0671785028790787,,/Users/macab/Documents/StoryPoint/research questions/RQ3_ZeroShot_Comparative/openAI/bamboo_pairwise
clover,openai_pairwise_zero_shot_clover_pairwise_20260217_133253.csv,384,384,0.6328125,0.6334972919199735,0.6311381959336573,0.630403768046691,0.734375,1.2119199643540823,0.264624972551074,0.26462497255107365,0.13541666666666666,0.026041666666666668,,/Users/macab/Documents/StoryPoint/research questions/RQ3_ZeroShot_Comparative/openAI/clover_pairwise
datamanagement,openai_pairwise_zero_shot_datamanagement_pairwise_20260217_133253.csv,4667,4667,0.5695307478037283,0.5694029206545117,0.5694457002680969,0.5693845264055702,0.8609385043925434,1.3122031126258948,0.1388486143323545,0.1388486143323545,0.01007070923505464,0.02678380115706021,,/Users/macab/Documents/StoryPoint/research questions/RQ3_ZeroShot_Comparative/openAI/datamanagement_pairwise
duracloud,openai_pairwise_zero_shot_duracloud_pairwise_20260301_152653.csv,666,666,0.6726726726726727,0.4505958049471346,0.469601677148847,0.4581477620897691,0.6096096096096096,1.083593177430614,0.40255449668994625,0.40255449668994614,0.12312312312312312,0.0,,/Users/macab/Documents/StoryPoint/research questions/RQ3_ZeroShot_Comparative/openAI/duracloud_pairwise
jirasoftware_filtered,openai_pairwise_zero_shot_jirasoftware_filtered_pairwise_20260217_133253.csv,284,284,0.5492957746478874,0.5493902439024391,0.5482142857142858,0.546053946053946,0.9014084507042254,1.3426901732747025,0.09759744527415547,0.09759744527415568,0.15492957746478872,0.014084507042253521,,/Users/macab/Documents/StoryPoint/research questions/RQ3_ZeroShot_Comparative/openAI/jirasoftware_filtered_pairwise
mesos,openai_pairwise_zero_shot_mesos_pairwise_20260217_133253.csv,1680,1680,0.6517857142857143,0.6539505974172266,0.651855373944691,0.6506209938105028,0.6964285714285714,1.1801936887041646,0.305798793586905,0.3057987935869042,0.11666666666666667,-0.0011904761904761906,,/Users/macab/Documents/StoryPoint/research questions/RQ3_ZeroShot_Comparative/openAI/mesos_pairwise
moodle,openai_pairwise_zero_shot_moodle_pairwise_20260217_133253.csv,1166,1166,0.614065180102916,0.6153887113951011,0.6148018648018648,0.6137742798844634,0.7718696397941681,1.2424730498438734,0.23018982814400674,0.23018982814400635,0.07375643224699828,-0.018867924528301886,,/Users/macab/Documents/StoryPoint/research questions/RQ3_ZeroShot_Comparative/openAI/moodle_pairwise
mule,openai_pairwise_zero_shot_mule_pairwise_20260217_133253.csv,889,889,0.6017997750281214,0.6030364932112797,0.6018600060734892,0.6006836591753457,0.796400449943757,1.2620621616574652,0.20489312164435367,0.20489312164435372,0.10686164229471316,-0.0011248593925759281,,/Users/macab/Documents/StoryPoint/research questions/RQ3_ZeroShot_Comparative/openAI/mule_pairwise
mulestudio,openai_pairwise_zero_shot_mulestudio_pairwise_20260217_133253.csv,732,732,0.5833333333333334,0.5840222343585177,0.583881038448899,0.5832703367099523,0.8333333333333334,1.2909944487358056,0.1679032134390436,0.16790321343904344,0.04644808743169399,-0.02185792349726776,,/Users/macab/Documents/StoryPoint/research questions/RQ3_ZeroShot_Comparative/openAI/mulestudio_pairwise
springxd,openai_pairwise_zero_shot_springxd_pairwise_20260217_133253.csv,3526,3526,0.6525808281338628,0.6526634036016072,0.6525418384733783,0.6524962768463893,0.6948383437322745,1.1788454892243296,0.3052052178649145,0.30520521786491484,0.02836074872376631,0.0028360748723766306,,/Users/macab/Documents/StoryPoint/research questions/RQ3_ZeroShot_Comparative/openAI/springxd_pairwise
