dataset,count,pearson,spearman,mae,rmse
appceleratorstudio_few_shot,2919,0.34806959082689787,0.4063356373183439,2.960945529290853,5.012454512492672
aptanastudio_few_shot,828,0.45567507683539055,0.41166561988033057,4.434782608695652,6.239387124615787
bamboo_few_shot,521,0.5235737231862772,0.3876990196284665,1.8195777351247602,2.4868174513760213
clover_few_shot,384,0.579608100753102,0.5480299346450055,3.453125,5.881202399736526
datamanagement_few_shot,4666,0.5467921413076189,0.5738569411527727,7.872481783111873,14.368437393880985
duracloud_few_shot,666,0.5337098625955103,0.5948142579968586,2.093093093093093,3.124542008481045
jirasoftware_filtered_few_shot,284,0.4279669711561257,0.4970013508276711,2.433098591549296,3.7185299230653497
mesos_few_shot,1680,0.5012874534339459,0.5311100262966073,2.280357142857143,3.626867335134643
moodle_few_shot,1164,0.4375462789516372,0.4330107794751629,10.831615120274915,20.69770975261361
mule_few_shot,889,0.45001278911605724,0.451546892357972,2.545556805399325,3.5641320290303438
mulestudio_few_shot,732,0.1606449183764077,0.29148561719735494,5.540983606557377,9.37238123715872
springxd_few_shot,3526,0.4602700870045855,0.49574165781270596,3.323028927963698,4.817632814263519
talenddataquality_few_shot,1381,0.35766108027482413,0.3824672198930568,4.095582910934105,6.385628324202623
talendesb_few_shot,868,0.4415270241644962,0.4964983146972833,2.3099078341013826,3.257214608313105
titanium_few_shot,2251,0.42071704476945326,0.41778679507582184,4.2176810306530435,7.636569410340718
usergrid_few_shot,482,0.32613349759197985,0.3167408254455025,1.3672199170124482,2.011894093217546
