dataset,count,pearson,spearman,mae,rmse
appceleratorstudio_few_shot,2919,0.305222196480715,0.342212498588929,2.3929427886262418,3.756688679160717
aptanastudio_few_shot,829,0.389507631702437,0.38458423004928727,3.9794933655006033,6.007936046329997
bamboo_few_shot,521,0.33263493928573284,0.4053804209243773,1.3800383877159308,2.2911831340054123
clover_few_shot,384,0.5935063310496922,0.5595906972146201,2.6744791666666665,5.716159477014848
datamanagement_few_shot,4666,0.4494087399805363,0.48370790681008025,6.984569224174882,16.19070341221857
duracloud_few_shot,666,0.5263458599093636,0.6030828550937479,1.3843843843843844,2.037928642802086
jirasoftware_filtered_few_shot,284,0.29976679937818584,0.43183347744355144,2.204225352112676,3.4894206307105153
mesos_few_shot,1680,0.4810040109728843,0.540764167846096,1.588690476190476,2.518621126916945
moodle_few_shot,1165,0.44185641508466406,0.41634784241797496,10.743347639484979,20.719587050750988
mule_few_shot,889,0.47260098886983876,0.45442716928567556,2.3813273340832395,3.3496973655757145
mulestudio_few_shot,732,0.18877027785616152,0.31371347874593136,3.435792349726776,5.742065088050625
springxd_few_shot,3526,0.4305955817548816,0.48953797627359363,1.7858763471355643,2.9940856808206564
talenddataquality_few_shot,1381,0.35752397362362653,0.4142582861902948,3.384503982621289,5.25704244735248
talendesb_few_shot,868,0.4456633246206853,0.5152896054545706,2.7764976958525347,3.8208740284146803
titanium_few_shot,2251,0.4093391682653618,0.3948455920774187,3.013771657041315,4.7631601230761795
usergrid_few_shot,482,0.3624584381759359,0.32564953200617563,1.4315352697095436,2.015500102679336
