model,prompt,project,metric,mean,std,min,max,runs_available,avg_valid_rows
deepseek-v4-flash,prompt4_pairwise_fewshot,appceleratorstudio,mae,2.1291095890410956,0.05186123440203076,2.0753424657534247,2.183219178082192,5,584.0
deepseek-v4-flash,prompt4_pairwise_fewshot,appceleratorstudio,pearson,0.2934623939017078,0.08516567212809636,0.15124548001054114,0.3683590540252727,5,584.0
deepseek-v4-flash,prompt4_pairwise_fewshot,appceleratorstudio,rmse,3.269168462497002,1.0479941878571808,2.7510894479614674,5.142989642781076,5,584.0
deepseek-v4-flash,prompt4_pairwise_fewshot,appceleratorstudio,spearman,0.3733206668358215,0.029824547663867475,0.32526004131295794,0.40347889882851257,5,584.0
deepseek-v4-flash,prompt4_pairwise_fewshot,aptanastudio,mae,3.913253012048193,0.15666125657128818,3.674698795180723,4.066265060240964,5,166.0
deepseek-v4-flash,prompt4_pairwise_fewshot,aptanastudio,pearson,0.3502149482590332,0.08780779429277005,0.27240565197234634,0.48771127132130804,5,166.0
deepseek-v4-flash,prompt4_pairwise_fewshot,aptanastudio,rmse,5.853913669826779,0.20279165876668365,5.564517537189253,6.065406550801522,5,166.0
deepseek-v4-flash,prompt4_pairwise_fewshot,aptanastudio,spearman,0.3475852345445046,0.06916763938797935,0.28526236128640614,0.4574164003171164,5,166.0
deepseek-v4-flash,prompt4_pairwise_fewshot,bamboo,mae,1.876190476190476,0.16536909861128887,1.6476190476190475,2.0476190476190474,5,105.0
deepseek-v4-flash,prompt4_pairwise_fewshot,bamboo,pearson,0.3198553638107503,0.07532294288535685,0.19885715277237098,0.36991622015509856,5,105.0
deepseek-v4-flash,prompt4_pairwise_fewshot,bamboo,rmse,2.470965396883238,0.22637544608550728,2.1491969707422394,2.699206232527312,5,105.0
deepseek-v4-flash,prompt4_pairwise_fewshot,bamboo,spearman,0.372488979568956,0.09229561640855245,0.2315169017995748,0.43996442340873765,5,105.0
deepseek-v4-flash,prompt4_pairwise_fewshot,clover,mae,3.662337662337662,0.15475812062094768,3.4675324675324677,3.883116883116883,5,77.0
deepseek-v4-flash,prompt4_pairwise_fewshot,clover,pearson,0.4363871077886866,0.053545596974444186,0.3698483277606447,0.5179177231354372,5,77.0
deepseek-v4-flash,prompt4_pairwise_fewshot,clover,rmse,7.36495058823165,0.2025694579364747,7.081162132224988,7.638759673575898,5,77.0
deepseek-v4-flash,prompt4_pairwise_fewshot,clover,spearman,0.5899069511846101,0.08205307552065565,0.48732782977205014,0.7115877504653131,5,77.0
deepseek-v4-flash,prompt4_pairwise_fewshot,datamanagement,mae,6.0402569593147755,0.053003806470911234,5.981798715203426,6.099571734475375,5,934.0
deepseek-v4-flash,prompt4_pairwise_fewshot,datamanagement,pearson,0.32317152405001653,0.04176045110836993,0.26160650331742813,0.37705566889607434,5,934.0
deepseek-v4-flash,prompt4_pairwise_fewshot,datamanagement,rmse,13.716539804730676,0.11800232851901563,13.572471824788936,13.891326457522503,5,934.0
deepseek-v4-flash,prompt4_pairwise_fewshot,datamanagement,spearman,0.34219870973703326,0.01698156211076802,0.3239195950754174,0.3613157028346171,5,934.0
deepseek-v4-flash,prompt4_pairwise_fewshot,duracloud,mae,1.5850746268656717,0.1345975743360668,1.4402985074626866,1.8059701492537314,5,134.0
deepseek-v4-flash,prompt4_pairwise_fewshot,duracloud,pearson,0.39858644938161447,0.04338218325974602,0.36460162906056515,0.4739887020478323,5,134.0
deepseek-v4-flash,prompt4_pairwise_fewshot,duracloud,rmse,2.2273300879716285,0.15043751538528494,2.038802692246223,2.4586126411866887,5,134.0
deepseek-v4-flash,prompt4_pairwise_fewshot,duracloud,spearman,0.3999868085933001,0.0219056423564332,0.3756468532610038,0.4307852956036535,5,134.0
