model,prompt,project,input_file,n_rows,metric_type,pearson_run1,spearman_run1,valid_n_run1,runtime_sec_run1,pearson_run2,spearman_run2,valid_n_run2,runtime_sec_run2,pearson_run3,spearman_run3,valid_n_run3,runtime_sec_run3,pearson_run4,spearman_run4,valid_n_run4,runtime_sec_run4,pearson_run5,spearman_run5,valid_n_run5,runtime_sec_run5,pearson_mean,pearson_std,spearman_mean,spearman_std,total_runtime_sec,accuracy_run1,accuracy_run2,accuracy_run3,accuracy_run4,accuracy_run5,accuracy_mean,accuracy_std
deepseek-v4-flash,prompt1_zeroshot,appceleratorstudio,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/appceleratorstudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv,584,numeric_story_point,0.33874552733017804,0.3772375026550568,583,578.2746999999999,0.340708481099087,0.3725830841823099,584,599.18,0.32358305113623165,0.33810970818761577,584,583.7522,0.3169175328013073,0.35948256100292997,584,573.492,0.37280090118386183,0.3932291025087852,584,564.04,0.33855109871013317,0.021620561352888035,0.36812839170733946,0.02066843982300573,2898.7389,,,,,,,
deepseek-v4-flash,prompt1_zeroshot,aptanastudio,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/aptanastudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv,166,numeric_story_point,0.3423145239098331,0.371494482089245,166,159.8809,0.434451977677317,0.4522489958635882,166,159.4938,0.4201937605444185,0.37468133297780165,166,161.9928,0.37637012674490633,0.36628065889345074,166,159.27669999999998,0.3051446957568717,0.3159147292933012,166,160.54500000000002,0.37569501692666935,0.05367629720064215,0.3761240398234773,0.048837937002443974,801.1892,,,,,,,
deepseek-v4-flash,prompt1_zeroshot,bamboo,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/bamboo_deepseek_v4_flash_prompt1_zeroshot_v7.csv,105,numeric_story_point,0.32000106676913376,0.408256710175793,105,101.1855,0.4151002799143555,0.43933108948351257,105,101.8974,0.45721155816171977,0.46779925812378126,105,102.32690000000001,0.32298837465971614,0.29164721517060294,105,100.4999,0.31140635262421823,0.34748265125357525,105,100.2829,0.36534152642582873,0.06647290049204127,0.390903384841453,0.07123289817203131,506.1926,,,,,,,
deepseek-v4-flash,prompt1_zeroshot,clover,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/clover_deepseek_v4_flash_prompt1_zeroshot_v7.csv,77,numeric_story_point,0.5265196709481956,0.6285035556081806,77,74.3156,0.48586679788455306,0.624698188810137,77,77.91159999999999,0.49423590813460566,0.620240707571328,77,75.5495,0.7252545955331379,0.6462914633649246,77,73.72769999999998,0.654742844848827,0.7367440029084061,77,75.07220000000001,0.5773239634698639,0.10691850788279227,0.6512955836525953,0.04877954708783228,376.5766,,,,,,,
deepseek-v4-flash,prompt1_zeroshot,datamanagement,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/datamanagement_deepseek_v4_flash_prompt1_zeroshot_v7.csv,934,numeric_story_point,0.4151924830165387,0.38264157316561276,934,897.0211,0.41004125688437676,0.3974571640668219,934,860.2786,0.3922011921144237,0.3854423830580917,934,860.0245,0.38216405885023985,0.3821916376510235,934,851.5740000000001,0.4641643774934638,0.36701757790098916,934,833.2214,0.4127526736718086,0.03168001929996737,0.3829500671685078,0.010853364651721577,4302.1196,,,,,,,
deepseek-v4-flash,prompt1_zeroshot,duracloud,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/duracloud_deepseek_v4_flash_prompt1_zeroshot_v7.csv,134,numeric_story_point,0.4125718460992682,0.4422823920435604,134,118.25370000000001,0.33973585316244354,0.4382468865459887,134,118.0679,0.38309524472547374,0.4513361627973616,134,120.251,0.37314147662627434,0.38316051956462266,134,121.2963,0.3599865854605285,0.43417965135597797,134,119.62289999999999,0.37370620121479764,0.027116525438535148,0.42984112246150225,0.02685786820227023,597.4918,,,,,,,
deepseek-v4-flash,prompt1_zeroshot,jirasoftware_filtered,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/jirasoftware_filtered_deepseek_v4_flash_prompt1_zeroshot_v7.csv,65,numeric_story_point,0.4098260042481975,0.4303157101565076,65,58.392599999999995,0.4705926859833549,0.4992982241697959,65,58.835,0.5041961856375966,0.4784472252997969,65,61.9495,0.3527647217813996,0.48508302460677327,65,61.04580000000001,0.4411826504107707,0.4863969596132312,65,59.280499999999996,0.43571244961226385,0.05806679277340137,0.475908228769221,0.02658197930483482,299.5034,,,,,,,
deepseek-v4-flash,prompt1_zeroshot,mesos,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/mesos_deepseek_v4_flash_prompt1_zeroshot_v7.csv,336,numeric_story_point,0.40765825064081346,0.47351990675700056,336,320.6237,0.4123990884519006,0.4504273974155166,336,307.82129999999995,-0.004719692815331246,0.48743575205551937,336,302.41580000000005,0.4146096148924702,0.4762369731731063,336,300.73159999999996,0.46293833512785865,0.4761920661250506,336,300.8035,0.3385771192595423,0.1932105324727033,0.4727624191052387,0.013588310104127758,1532.3959,,,,,,,
deepseek-v4-flash,prompt1_zeroshot,moodle,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/moodle_deepseek_v4_flash_prompt1_zeroshot_v7.csv,234,numeric_story_point,0.175305481619524,0.19342765500288484,234,212.9674,0.2791967034018146,0.22161276954844664,234,210.85899999999998,0.2106940667002649,0.21970122871549722,234,213.20409999999998,0.21775796817842155,0.25236000889552346,234,207.1504,0.19714149951910398,0.21775441326435774,234,209.8429,0.21601914388382584,0.038848268093056366,0.220971215085342,0.020953975460149692,1054.0238,,,,,,,
deepseek-v4-flash,prompt1_zeroshot,mule,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/mule_deepseek_v4_flash_prompt1_zeroshot_v7.csv,178,numeric_story_point,0.48427392666024255,0.456948331273372,178,158.4762,0.32873425937901074,0.3598781496831344,178,182.22320000000002,0.4773800725658804,0.40665088308785696,178,173.2456,0.43092457338340917,0.4028275071491318,178,158.8299,0.4717084092676898,0.40391571069229065,178,155.2874,0.43860424825124655,0.0648374147671003,0.4060441163771572,0.0344157682847559,828.0623,,,,,,,
