model,method,sample_size,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,precision_story_a_more,precision_equal,precision_story_b_more,recall_story_a_more,recall_equal,recall_story_b_more,f1_story_a_more,f1_equal,f1_story_b_more
openai,zero_shot,20,0.5,0.6568627450980392,0.5,0.43846153846153846,0.7117647058823529,0.5,0.41692307692307684,0.47058823529411764,0.5,1.0,0.8888888888888888,0.5,0.1111111111111111,0.6153846153846154,0.5,0.2
openai,few_shot,20,0.65,0.44322344322344326,0.48148148148148145,0.45075757575757575,0.5983516483516483,0.65,0.6085227272727274,0.6153846153846154,0.0,0.7142857142857143,0.8888888888888888,0.0,0.5555555555555556,0.7272727272727273,0.0,0.625
