dataset,n_total,n_valid,accuracy_exact,mae,rmse,pearson,spearman,predicted_mean,ground_truth_mean,predicted_std,ground_truth_std
appceleratorstudio_pairwise,2919,5838,0.1963001027749229,2.8388146625556696,4.067244804714011,0.3020429980709458,0.30496168895027664,3.0912983898595408,5.635491606714628,0.8996542421335406,3.327179904363369
aptanastudio_pairwise,829,1658,0.10554885404101327,4.910132689987937,7.002799715833117,0.33837914143826353,0.2801669578422071,3.8751507840772015,8.01568154402895,1.283843291937241,5.953024328872004
bamboo_pairwise,521,1042,0.190978886756238,1.7562380038387715,2.4588747953316132,0.15138493698606964,0.18642241996771,3.45489443378119,2.418426103646833,1.0234428149033286,2.1431853036391537
clover_pairwise,384,768,0.19401041666666666,3.1015625,6.239157261468358,0.3762283254345859,0.4041060886616672,3.6432291666666665,4.59375,1.3443807391975124,6.549107446377573
datamanagement_pairwise,4667,9334,0.06031712020569959,7.289693593314763,16.4652662444473,0.3463332186942796,0.437434005527015,5.452110563531177,9.565031069209342,2.344490326127748,16.603706300408053
duracloud_pairwise,666,1332,0.09534534534534535,2.063063063063063,2.5094416305818505,0.4829312122784168,0.5090411166755554,3.8168168168168166,2.1276276276276276,1.5160804240603005,2.0298862639086916
jirasoftware_filtered_pairwise,284,568,0.2852112676056338,2.089788732394366,3.5521764801989884,0.24902409857541824,0.3859879323872411,3.4911971830985915,4.323943661971831,1.5094972625816883,3.5077124313759813
mesos_pairwise,1680,3360,0.2824404761904762,1.5910714285714285,2.3675635456851296,0.37596964364698404,0.43735500351459666,3.7202380952380953,3.085714285714286,1.3222874585766902,2.421455296596038
moodle_pairwise,1166,2332,0.11192109777015437,12.267152658662093,23.97410516987856,0.38292451300955876,0.3675461406070429,4.160806174957118,15.53859348198971,1.516772760568761,21.64099584673408
mule_pairwise,889,1778,0.24465691788526434,2.494938132733408,3.5601847754780307,0.32042880589404066,0.35142241985571415,3.815523059617548,5.080989876265467,1.4455978941447525,3.497111715873839
mulestudio_pairwise,732,1464,0.1885245901639344,3.8025956284153004,6.238705641992712,0.18440323592398292,0.27555861395212455,3.126366120218579,6.396174863387978,1.4917458629369766,5.383845775820751
springxd_pairwise,3526,7052,0.22461712989222915,1.9556154282473057,3.031714572670357,0.3536662729257675,0.39595480526853205,3.966108905275099,3.6999432785025523,1.2212891968235031,3.227775323364975
talenddataquality_pairwise,1381,2762,0.15930485155684287,3.5912382331643737,5.555884212661742,0.31014893771676283,0.30271595864436046,3.3711078928312816,5.923244026068066,1.516851426666024,5.191017222984123
talendesb_pairwise,868,1736,0.14861751152073732,1.9464285714285714,2.404273269392864,0.4058574985939881,0.4749868050269491,3.8911290322580645,2.161290322580645,1.5651874489939073,1.4975173902522878
titanium_pairwise,2251,4502,0.27076854731230565,3.196801421590404,5.206785717055375,0.29004108295931563,0.26346817941278905,4.497112394491337,6.315859617947579,1.3128204551508282,5.09559466681804
usergrid_pairwise,482,964,0.4149377593360996,1.2396265560165975,1.8583109271794882,0.29083151972101207,0.2930544278948554,3.5674273858921164,2.8526970954356847,1.4769313771291865,1.4035568922172028
