File,MAE,RMSE,Pearson_r,Pearson_p,Spearman_rho,Kendall_tau,Cohen_kappa,Cohen_kappa_linear,Cohen_kappa_quadratic
usergrid_ds3.2_zeroshot_v5.csv,7.186721991701245,8.015027379891784,0.20984784845038762,3.3682509206448164e-06,0.22801145785285198,0.20110696578460857,-0.00651774979434272,0.008029375607432665,0.042393550136837654
titanium_ds3.2_zeroshot_v5.csv,5.636605952909818,6.778529881017373,0.24603571948427116,2.1723781591983364e-32,0.2486650352443777,0.21485679867848492,0.016036769199661127,0.07765897580191339,0.1262818315052
talendesb_ds3.2_zeroshot_v5.csv,8.7073732718894,9.274488073864674,0.21991506343914546,5.749256335475964e-11,0.2817607949048117,0.250764315456884,-0.0072694303893681145,0.005967558669064399,0.03717330056348156
talenddataquality_ds3.2_zeroshot_v5.csv,5.947139753801593,7.303050060643797,0.1458027978550023,5.253878351541068e-08,0.16584755568162096,0.13884715535547756,0.02919923279055603,0.06620593110649764,0.09322222853520623
springxd_ds3.2_zeroshot_v5.csv,6.33862733976177,7.270247218042709,0.25465151154839727,2.6039500542981556e-53,0.32452402650173917,0.27166066045362336,-0.020786855931107073,0.044860911585902,0.10339848950826536
mulestudio_ds3.2_zeroshot_v5.csv,5.270491803278689,6.956146788422202,0.1513733385233959,3.9190534614485286e-05,0.23542605841667144,0.198080622567332,0.0489733749260044,0.11516943407630054,0.1840156903333543
mule_ds3.2_zeroshot_v5.csv,5.761529808773903,6.722860283666527,0.28197387234953064,1.0346124543793817e-17,0.2965461198876641,0.2569479842060589,-0.015466302696599099,0.07109282189815302,0.13247343213789287
moodle_ds3.2_zeroshot_v5.csv,11.433104631217839,22.035426801070074,0.2578591567522827,3.641548595053635e-19,0.29225068604942445,0.23762683448373678,0.007876767819013364,0.15478062777421953,0.2541901931649331
mesos_ds3.2_zeroshot_v5.csv,6.998809523809523,7.886848607167564,0.23181557977146988,6.2127587976604e-22,0.28509347909957183,0.24510262972431607,-0.016227689909197318,0.0249155044264896,0.065672783229625
jirasoftware_filtered_ds3.2_zeroshot_v5.csv,5.866197183098592,6.879751878919251,0.18974264224318915,0.0013147891602080478,0.28762967754829927,0.2379841490053093,-0.0023251951503073798,0.05306398264395218,0.11508713662987458
duracloud_ds3.2_zeroshot_v5.csv,7.2492492492492495,8.031656585506349,0.30886443011505554,3.4591766310455705e-16,0.39968531041996236,0.3505515142552168,-0.010678695059267662,0.0188026778332272,0.05710472427278723
datamanagement_ds3.2_zeroshot_v5.csv,9.305335333190486,16.107736696601314,0.24487806291155853,1.0845351465554917e-64,0.27301489097274245,0.21890417598632142,0.014309425548955423,0.10641800146123959,0.19691259255545268
clover_ds3.2_zeroshot_v5.csv,7.291666666666667,8.599297451924004,0.2780563242559524,3.0136158730530696e-08,0.42156334888309765,0.3605939448484381,-0.005958495993425128,0.05067800951619539,0.09874780764367586
bamboo_ds3.2_zeroshot_v5.csv,7.140115163147793,8.091843242632653,0.167447326033995,0.0001230236825529749,0.19326254018826966,0.1669331881044087,-0.009093558952802505,0.012784615013259004,0.040051665883348186
aptanastudio_ds3.2_zeroshot_v5.csv,4.5174909529553675,6.224295756134273,0.2697902239854461,2.7187433490478e-15,0.28961446603474333,0.24128210002710412,0.06481099759390152,0.15008143610365465,0.2162899183630277
appceleratorstudio_ds3.2_zeroshot_v5.csv,4.2154847550531,5.388853276612933,0.27288693183303375,5.176427342263799e-51,0.3010187637620025,0.2590630964065704,0.029409092924725933,0.11870628860797716,0.20858927447827236
