project,accuracy,n_pairs_valid,n_correct,n_invalid_pred
appceleratorstudio,0.6206536856745479,2876,1785,0
aptanastudio,0.556420233463035,771,429,0
bamboo,0.6176470588235294,374,231,0
clover,0.7340720221606648,361,265,0
datamanagement,0.5942928039702233,4030,2395,0
duracloud,0.734094616639478,613,450,0
jirasoftware_filtered,0.6495726495726496,234,152,0
mesos,0.6549295774647887,1562,1023,0
moodle,0.6243567753001715,1166,728,0
mule,0.6231721034870641,889,554,0
mulestudio,0.5901639344262295,732,432,0
springxd,0.6625204582651392,3055,2024,0
talenddataquality,0.5413732394366197,1136,615,0
talendesb,0.6967741935483871,775,540,0
titanium,0.589066918001885,2122,1250,0
usergrid,0.6036036036036037,333,201,0
