Dataset,A_mae,P_mae,Diff_mae,PctDiff_mae,A_rmse,P_rmse,Diff_rmse,PctDiff_rmse,A_pearson,P_pearson,Diff_pearson,PctDiff_pearson,A_spearman,P_spearman,Diff_spearman,PctDiff_spearman,A_count,P_count,Diff_count,PctDiff_count
appceleratorstudio,2.275566231983528,2.3929427886262418,-0.11737655664271385,-4.905113369220927,3.3924802789960036,3.756688679160717,-0.36420840016471345,-9.694931661094722,0.3378685519317839,0.305222196480715,0.032646355451068865,10.695930973398776,0.3447557267823999,0.342212498588929,0.0025432281934709144,0.7431722114059545,2914,2919,-5,-0.17129153819801302
aptanastudio,3.658952496954933,3.9794933655006033,-0.3205408685456703,-8.05481600558838,5.647587953763385,6.007936046329997,-0.3603480925666114,-5.997868315970729,0.3437363751628293,0.389507631702437,-0.04577125653960773,-11.75105513069241,0.3804962198208614,0.3845842300492872,-0.004088010228425809,-1.0629687618501418,821,829,-8,-0.9650180940892641
bamboo,5.887378640776699,1.3800383877159308,4.507340253060768,326.609773552804,6.464541071269942,2.2911831340054123,4.173357937264529,182.14859717340565,0.3434075322218617,0.3326349392857328,0.010772592936128922,3.238563260750935,0.2177086517948135,0.4053804209243773,-0.18767176912956382,-46.29522281851237,515,521,-6,-1.1516314779270633
clover,5.693931398416886,2.6744791666666665,3.0194522317502197,112.89870077819712,6.812219348628306,5.716159477014848,1.0960598716134573,19.17476018681433,0.5378733316218962,0.5935063310496922,-0.05563299942779598,-9.373615160836088,0.487566541462953,0.5595906972146201,-0.0720241557516671,-12.87086367056664,379,384,-5,-1.3020833333333335
datamanagement,10.985338507977575,6.984569224174882,4.000769283802693,57.28011499915118,18.85774347592736,16.19070341221857,2.6670400637087894,16.47266332910567,0.3569105051437942,0.4494087399805363,-0.09249823483674213,-20.582206487739466,0.407413557546083,0.4837079068100802,-0.0762943492639972,-15.772814169430745,4638,4666,-28,-0.6000857265323617
duracloud,4.455370650529501,1.3843843843843844,3.070986266145116,221.83046130722857,4.9228541713251195,2.037928642802086,2.8849255285230333,141.56165568959048,0.3738023878610703,0.5263458599093636,-0.15254347204829327,-28.98160385921173,0.4821736481077869,0.6030828550937479,-0.12090920698596103,-20.048523343805876,661,666,-5,-0.7507507507507507
jirasoftware_filtered,3.7670250896057342,2.204225352112676,1.5627997374930582,70.90017978403012,4.657056156308484,3.4894206307105153,1.167635525597969,33.46216031743399,0.2698785802960173,0.2997667993781858,-0.029888219082168488,-9.97049010903356,0.3534107291490631,0.4318334774435514,-0.07842274829448831,-18.160414231603806,279,284,-5,-1.7605633802816902
mesos,5.771343283582089,1.588690476190476,4.182652807391613,263.2767597009333,7.146693212989978,2.518621126916945,4.628072086073033,183.75419933597857,0.401886610300139,0.4810040109728843,-0.07911740067274531,-16.44838688823437,0.4537723754188157,0.540764167846096,-0.08699179242728033,-16.086826309845033,1675,1680,-5,-0.2976190476190476
moodle,10.73040482342808,10.74334763948498,-0.012942816056900952,-0.12047284041458617,20.165764389237506,20.719587050750988,-0.5538226615134825,-2.6729425647187743,0.4069416266238967,0.441856415084664,-0.03491478846076729,-7.901840341975633,0.3742224391061431,0.4163478424179749,-0.04212540331183179,-10.117838744446226,1161,1165,-4,-0.34334763948497854
mule,4.110985277463194,2.3813273340832395,1.7296579433799546,72.63419516602644,5.4908551586912155,3.3496973655757145,2.141157793115501,63.92093253318421,0.3737907749894631,0.4726009888698387,-0.09881021388037559,-20.90774590139281,0.3998579574825837,0.4544271692856755,-0.05456921180309182,-12.008351500829146,883,889,-6,-0.6749156355455568
mulestudio,5.833333333333333,3.435792349726776,2.397540983606557,69.78131212723656,8.345913369575063,5.742065088050625,2.6038482815244386,45.34689596157852,0.1970011766165919,0.1887702778561615,0.0082308987604304,4.3602726307910356,0.2982156781705782,0.3137134787459313,-0.015497800575353105,-4.940113073019852,726,732,-6,-0.819672131147541
springxd,7.061647727272727,1.7858763471355643,5.275771380137163,295.4163869519396,8.592230237519562,2.9940856808206564,5.598144556698905,186.9734253952444,0.3452084994861671,0.4305955817548816,-0.0853870822687145,-19.829994985253116,0.3522829257761868,0.4895379762735936,-0.13725505049740677,-28.037671672012937,3520,3526,-6,-0.17016449234259784
talenddataquality,4.867005813953488,3.384503982621289,1.4825018313321996,43.80263220089361,8.242553016666507,5.25704244735248,2.9855105693140276,56.790687905089534,0.2159406921240139,0.3575239736236265,-0.14158328149961258,-39.60105949389018,0.2696168421507257,0.4142582861902948,-0.14464144403956913,-34.915763633784316,1376,1381,-5,-0.3620564808110065
talendesb,5.152954808806489,2.7764976958525347,2.376457112953954,85.59189933792663,5.831846083099594,3.82087402841468,2.0109720546849146,52.63120531401783,0.3654147806502184,0.4456633246206853,-0.08024854397046693,-18.006539810914077,0.4497934969743391,0.5152896054545706,-0.06549610848023146,-12.710543311358489,863,868,-5,-0.5760368663594471
titanium,4.096616206589492,3.013771657041315,1.0828445495481773,35.92988032183,6.323886504079097,4.7631601230761795,1.560726381002917,32.76661587423093,0.2572298895778712,0.4093391682653618,-0.15210927868749063,-37.15971753499116,0.2894648249146943,0.3948455920774187,-0.10538076716272443,-26.68910816713944,2246,2251,-5,-0.2221235006663705
usergrid,1.9329140461215932,1.4315352697095436,0.5013787764120496,35.02385075805912,2.6823438544413203,2.015500102679336,0.6668437517619843,33.08577116297366,0.3842274954443821,0.3624584381759359,0.02176905726844619,6.005945779052211,0.3428444254783838,0.3256495320061756,0.017194893472208206,5.280183688973373,477,482,-5,-1.0373443983402488
