model,method,sample_size,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,precision_story_a_more,precision_equal,precision_story_b_more,recall_story_a_more,recall_equal,recall_story_b_more,f1_story_a_more,f1_equal,f1_story_b_more
openai,zero_shot,20,0.5,0.5794871794871795,0.5,0.42857142857142855,0.7123076923076923,0.5,0.47857142857142865,0.5384615384615384,0.2,1.0,0.7777777777777778,0.5,0.2222222222222222,0.6363636363636364,0.2857142857142857,0.36363636363636365
openai,few_shot,20,0.7,0.47222222222222215,0.5185185185185185,0.48926237161531283,0.6375,0.7,0.6605042016806723,0.6666666666666666,0.0,0.75,0.8888888888888888,0.0,0.6666666666666666,0.7619047619047619,0.0,0.7058823529411765
