source_filename,csv_filename,count,mae,rmse,pearson,spearman,predicted_mean,actual_mean,total_rows,valid_predictions,output_folder
appceleratorstudio,appceleratorstudio.csv,2914,2.275566231983528,3.3924802789960036,0.3378685519317839,0.34475572678239996,6.095401509951956,5.615991763898421,2914,2914,story_point_prediction_results/Few Shot Results/story_point_prediction_gemini_fewshot_appceleratorstudio_20251207_150412
aptanastudio,aptanastudio.csv,821,3.658952496954933,5.647587953763385,0.34373637516282934,0.3804962198208614,7.33495736906212,7.97563946406821,821,821,story_point_prediction_results/Few Shot Results/story_point_prediction_gemini_fewshot_aptanastudio_20251207_151609
bamboo,bamboo.csv,515,5.887378640776699,6.464541071269942,0.34340753222186177,0.2177086517948135,8.23495145631068,2.355339805825243,515,515,story_point_prediction_results/Few Shot Results/story_point_prediction_gemini_fewshot_bamboo_20251207_152303
clover,clover.csv,379,5.693931398416886,6.812219348628306,0.5378733316218962,0.48756654146295303,8.717678100263852,4.437994722955145,379,379,story_point_prediction_results/Few Shot Results/story_point_prediction_gemini_fewshot_clover_20251207_152823
datamanagement,datamanagement.csv,4638,10.985338507977577,18.85774347592736,0.3569105051437942,0.407413557546083,14.08732212160414,9.481026304441569,4638,4638,story_point_prediction_results/Few Shot Results/story_point_prediction_gemini_fewshot_datamanagement_20251207_163049
duracloud,duracloud.csv,661,4.455370650529501,4.9228541713251195,0.3738023878610703,0.48217364810778696,6.391830559757943,2.0726172465960664,661,661,story_point_prediction_results/Few Shot Results/story_point_prediction_gemini_fewshot_duracloud_20251207_163917
jirasoftware_filtered,jirasoftware_filtered.csv,279,3.7670250896057347,4.657056156308484,0.2698785802960173,0.35341072914906313,7.03584229390681,4.236559139784946,279,279,story_point_prediction_results/Few Shot Results/story_point_prediction_gemini_fewshot_jirasoftware_filtered_20251207_164252
mesos,mesos.csv,1675,5.771343283582089,7.146693212989978,0.40188661030013906,0.45377237541881577,8.73134328358209,3.051940298507463,1675,1675,story_point_prediction_results/Few Shot Results/story_point_prediction_gemini_fewshot_mesos_20251207_170358
moodle,moodle.csv,1161,10.73040482342808,20.165764389237502,0.40694162662389677,0.3742224391061431,11.101636520241172,15.411714039621016,1161,1161,story_point_prediction_results/Few Shot Results/story_point_prediction_gemini_fewshot_moodle_20251207_171911
mule,mule.csv,883,4.110985277463194,5.4908551586912155,0.3737907749894631,0.3998579574825837,8.47678369195923,5.052095130237825,883,883,story_point_prediction_results/Few Shot Results/story_point_prediction_gemini_fewshot_mule_20251207_173014
mulestudio,mulestudio.csv,726,5.833333333333333,8.345913369575063,0.19700117661659194,0.2982156781705782,10.019283746556473,6.315426997245179,726,726,story_point_prediction_results/Few Shot Results/story_point_prediction_gemini_fewshot_mulestudio_20251207_173933
springxd,springxd.csv,3520,7.061647727272727,8.592230237519562,0.3452084994861671,0.35228292577618686,10.46903409090909,3.6698863636363637,3520,3520,story_point_prediction_results/Few Shot Results/story_point_prediction_gemini_fewshot_springxd_20251207_182416
talenddataquality,talenddataquality.csv,1376,4.867005813953488,8.242553016666507,0.21594069212401393,0.26961684215072573,8.672238372093023,5.879360465116279,1376,1376,story_point_prediction_results/Few Shot Results/story_point_prediction_gemini_fewshot_talenddataquality_20251207_184137
talendesb,talendesb.csv,863,5.152954808806489,5.831846083099594,0.3654147806502184,0.4497934969743391,7.243337195828505,2.1390498261877173,863,863,story_point_prediction_results/Few Shot Results/story_point_prediction_gemini_fewshot_talendesb_20251207_185219
titanium,titanium.csv,2246,4.096616206589492,6.323886504079097,0.2572298895778712,0.28946482491469433,8.082813891362422,6.296081923419412,2246,2246,story_point_prediction_results/Few Shot Results/story_point_prediction_gemini_fewshot_titanium_20251207_192047
usergrid,usergrid.csv,477,1.9329140461215932,2.6823438544413203,0.38422749544438217,0.34284442547838384,4.465408805031447,2.842767295597484,477,477,story_point_prediction_results/Few Shot Results/story_point_prediction_gemini_fewshot_usergrid_20251207_192646
