dataset,count,pearson,spearman,mae,rmse
appceleratorstudio,2335,0.3542083925413187,0.3823760567604548,2.780299785867238,4.030610922817396
aptanastudio,663,0.3927427264529165,0.3188592827256239,5.111613876319758,7.082044510554287
bamboo,416,0.21277144657542077,0.3066039423801196,2.2115384615384617,3.091551763709013
clover,307,0.4761867872406227,0.4381041818436891,3.182410423452769,5.38395492960696
clover_test_small,9,0.6896946665240163,0.4273657794371963,2.5555555555555554,2.848001248439177
datamanagement,3733,0.4360844698726301,0.4838849144679511,7.325743369943745,16.40685338302132
duracloud,532,0.48557430761701276,0.5613841820961668,3.1203007518796992,4.193173829799725
mesos,1344,0.3846471801486404,0.4502181183379749,2.340029761904762,3.6157517495378073
moodle,932,0.40662270580084975,0.5126389375778259,13.798283261802576,25.611030684138086
mule,711,0.38852586443237286,0.4584861620989244,2.528832630098453,3.7499179550330974
mulestudio,585,0.21595108298817584,0.35263991729946104,3.31965811965812,5.868356400015837
springxd,2820,0.4240636404595299,0.4786697665917779,2.176595744680851,3.4848201720039547
talenddataquality,1104,0.3602340849252242,0.37913014236684567,3.663949275362319,5.574999187625859
talendesb,694,0.4297147579872987,0.4943095625479649,3.819884726224784,5.264338181020465
titanium,1800,0.35764878524761395,0.34716032860476864,3.4433333333333334,5.49221671499263
usergrid,385,0.30602893138917336,0.2926858620950162,2.0233766233766235,3.135469475400587
