dataset,n,pearson,spearman
appceleratorstudio,2876,0.30369651965685485,0.34684075902299843
aptanastudio,771,0.4356273291566138,0.3468974595462416
bamboo,374,0.5356863466829469,0.4349225445205256
clover,361,0.5881934599134969,0.5759469953936778
datamanagement,4030,0.4810825852767234,0.5039995886432903
duracloud,613,0.585306233793565,0.585534245648907
jirasoftware_filtered,234,0.29209090620694045,0.4216135594096677
mesos,1562,0.4661204635861002,0.5091850654187318
moodle,1166,0.492468163460059,0.4088399719419944
mule,889,0.4458058011402216,0.44710982835323454
mulestudio,732,0.20997667647445573,0.32363107107956574
springxd,3055,0.48489919330314185,0.49324934779323426
talenddataquality,1136,0.3197968625352704,0.3131116524002882
talendesb,775,0.5419963248618659,0.5784047943129939
titanium,2122,0.41555069108784903,0.3490183805265015
usergrid,333,0.30152474039716104,0.2996903668384207
