model,prompt,project,metric_type,runtime_sec_run1,pearson_run1,spearman_run1,mae_run1,rmse_run1,valid_n_run1,runtime_sec_run2,pearson_run2,spearman_run2,mae_run2,rmse_run2,valid_n_run2,runtime_sec_run3,pearson_run3,spearman_run3,mae_run3,rmse_run3,valid_n_run3,runtime_sec_run4,pearson_run4,spearman_run4,mae_run4,rmse_run4,valid_n_run4,runtime_sec_run5,pearson_run5,spearman_run5,mae_run5,rmse_run5,valid_n_run5,total_runtime_sec,pearson_mean,pearson_std,spearman_mean,spearman_std,accuracy_run1,accuracy_run2,accuracy_run3,accuracy_run4,accuracy_run5,accuracy_mean,accuracy_std
qwen,prompt1_zeroshot,appceleratorstudio,numeric_story_point,473608.885,0.34883344775069947,0.37269651524883435,1.8339041095890412,2.483162477650417,584,198591.48599999998,0.35145247364759696,0.34803672091638793,1.8304794520547945,2.4976015892512033,584,254936.123,0.3859857718908737,0.4119456468812622,1.7363013698630136,2.4241931294282484,584,251041.62600000002,0.3038305514474288,0.3176514229470563,1.9315068493150684,2.5914770739208817,584,261274.265,0.34602880264595703,0.3628778628309873,1.8184931506849316,2.477294149141329,584,1439452.3850000002,0.34722620947651117,0.029186320088192,0.3626416337649056,0.034530655597427844,,,,,,,
qwen,prompt1_zeroshot,aptanastudio,numeric_story_point,137778.986,0.3996037464157898,0.41499646686366465,3.9759036144578315,5.992967766524563,166,69266.676,0.34002134430315334,0.41976865196579366,4.036144578313253,6.172226951609012,166,78627.252,0.44202394486176133,0.4554238337142867,3.9156626506024095,5.972830049078973,166,81692.503,0.43603561025464166,0.4481222783318707,3.927710843373494,6.004014721091575,166,78964.38400000002,0.34112091718805687,0.318536608007996,3.9698795180722892,6.106978035238997,166,446329.80100000004,0.3917611126046806,0.04947101012078831,0.4113695677767223,0.054756729066097645,,,,,,,
qwen,prompt1_zeroshot,bamboo,numeric_story_point,111522.46700000002,0.27444243194505913,0.37145850322625124,2.142857142857143,2.69214023550391,105,49484.202,0.34320120743907956,0.3337310726259359,2.3047619047619046,2.851899951494325,105,48200.99,0.33677591404925533,0.36939926988174304,2.1523809523809523,2.7185430271518953,105,51095.05600000001,0.24242547557440353,0.20126815087088795,2.1333333333333333,2.596701204000403,105,49999.637,0.21891335003752033,0.25312640397680264,2.1619047619047618,2.6779523094014523,105,310302.352,0.28315167580906364,0.055548496802326645,0.30579668011632416,0.075560350281573,,,,,,,
qwen,prompt1_zeroshot,clover,numeric_story_point,60376.443,0.6293505770350228,0.5405575865005934,3.844155844155844,6.8660656232559525,77,38121.479,0.4136306214450737,0.4579846712526349,4.0,7.460719647750991,77,38500.06,0.6749883836852146,0.6351389169730908,3.7012987012987013,6.7947649826047085,77,35906.670999999995,0.5281213726387042,0.5471072059137309,3.8181818181818183,7.191264542087554,77,36772.755,0.5432072585751051,0.5791954788735011,3.7012987012987013,7.146881982929484,77,209677.408,0.557859642675824,0.10090981530036124,0.5519967719027102,0.06450857275326208,,,,,,,
qwen,prompt1_zeroshot,datamanagement,numeric_story_point,992782.554,0.45896226032744447,0.4241602206919253,5.734475374732334,12.940234881981723,934,562075.524,0.40987648429592494,0.43105092859232397,5.815845824411135,13.081117371679257,934,481817.578,0.46582061912551675,0.391362847786706,5.7612419700214135,12.869672865204755,934,485733.36400000006,0.4161301774077729,0.416169469583213,5.748394004282655,13.025629487844487,934,480416.519,0.4416290210783743,0.40928689767389814,5.811563169164883,12.871627746968564,934,3002825.539,0.43848371244700673,0.024973107474170107,0.41440607286561326,0.015268434486260016,,,,,,,
qwen,prompt1_zeroshot,duracloud,numeric_story_point,161818.63199999998,0.48838563519248246,0.6037643758388712,2.5074626865671643,3.1693494788998873,134,91713.31599999999,0.41869174127323994,0.4727363639289259,2.3208955223880596,2.9384227670995466,134,74836.876,0.37705270897785637,0.5028630127401843,2.417910447761194,2.9244211061285528,134,74138.34400000001,0.4385166145712982,0.5082073294962858,2.2611940298507465,2.647161250579036,134,72104.263,0.4537230559423016,0.49939814692579954,2.3134328358208953,2.7939166324809572,134,474611.431,0.4352739511914357,0.04134131722621436,0.5173938457860133,0.05018351700369955,,,,,,,
qwen,prompt1_zeroshot,jirasoftware_filtered,numeric_story_point,88617.337,0.5320749661358936,0.397404616139227,2.1384615384615384,2.879636729226048,65,44901.674999999996,0.47768068727851504,0.498293987921465,2.076923076923077,2.958689938781378,65,35308.112,0.4050973704129325,0.3803259194804843,2.230769230769231,3.045804175734723,65,35073.797000000006,0.3608373145963493,0.39137144074204805,2.076923076923077,2.7651679598450882,65,35725.408,0.39351340927709755,0.35500547573572,2.2615384615384615,2.932575659723036,65,239626.32899999997,0.4338407495401576,0.06955911008095902,0.4044802880037889,0.054895600617969956,,,,,,,
qwen,prompt1_zeroshot,mesos,numeric_story_point,417109.95499999996,0.3937805049793254,0.44385813702080595,1.6994047619047619,2.3483783665289018,336,235764.462,0.3281023934446575,0.46304825424862384,1.6755952380952381,2.317762673252766,336,198760.64899999998,0.3830026261376108,0.44226003931400826,1.6160714285714286,2.2828292804783987,336,190451.875,0.3959908862211972,0.4390705789827233,1.6904761904761905,2.3954321610296625,336,192345.91499999998,0.3927547795994568,0.4315267495938488,1.7172619047619047,2.357233043007759,336,1234432.856,0.3787262380764495,0.02873395267345393,0.443952751832002,0.011680684735141852,,,,,,,
qwen,prompt1_zeroshot,moodle,numeric_story_point,340102.846,0.1376691290041385,0.1592265970733205,5.444444444444445,9.358482600357634,234,169811.65600000002,0.12991581607531216,0.18409314044578165,5.354700854700854,9.383792173506166,234,140868.15399999998,0.1353639899901517,0.13521955087071558,5.427350427350428,9.389027966400258,234,136446.551,0.12248730734968646,0.18956388434375385,5.333333333333333,9.391303487619874,234,138287.65699999998,0.1698180629644378,0.15694250117626518,5.401709401709402,9.291113298458175,234,925516.864,0.1390508610767453,0.018165374157824498,0.16500913478196735,0.02209673407940994,,,,,,,
qwen,prompt1_zeroshot,mule,numeric_story_point,265664.865,0.3398662539910271,0.43677511271086594,2.2191011235955056,3.1720336935172977,178,129776.36499999999,0.4333054737588366,0.4443971716255366,2.106741573033708,3.014012220101529,178,108502.578,0.3256199129466951,0.36874580776466315,2.331460674157303,3.2507561782356236,178,104979.54500000001,0.3354167465790407,0.371809982109844,2.207865168539326,3.21251065665176,178,106341.44399999999,0.40333643359897764,0.38011361170898944,2.241573033707865,3.0639256599072704,178,715264.797,0.3675089641749154,0.04785789043640302,0.4003683371839798,0.03704662427951527,,,,,,,
