model,prompt,project,metric,mean,std,min,max,n_runs,total_runtime
qwen,prompt1_zeroshot,appceleratorstudio,pearson,0.34722620947651117,0.029186320088192,0.3038305514474288,0.3859857718908737,5,1439452.3850000002
qwen,prompt1_zeroshot,appceleratorstudio,spearman,0.3626416337649056,0.034530655597427844,0.3176514229470563,0.4119456468812622,5,1439452.3850000002
qwen,prompt1_zeroshot,appceleratorstudio,mae,1.8301369863013697,0.0693376871699326,1.7363013698630136,1.9315068493150684,5,1439452.3850000002
qwen,prompt1_zeroshot,appceleratorstudio,rmse,2.494745683878416,0.060789611953215146,2.4241931294282484,2.5914770739208817,5,1439452.3850000002
qwen,prompt1_zeroshot,aptanastudio,pearson,0.3917611126046806,0.04947101012078831,0.34002134430315334,0.44202394486176133,5,446329.80100000004
qwen,prompt1_zeroshot,aptanastudio,spearman,0.4113695677767223,0.054756729066097645,0.318536608007996,0.4554238337142867,5,446329.80100000004
qwen,prompt1_zeroshot,aptanastudio,mae,3.9650602409638553,0.047510226875012794,3.9156626506024095,4.036144578313253,5,446329.80100000004
qwen,prompt1_zeroshot,aptanastudio,rmse,6.049803504708625,0.08588983351358692,5.972830049078973,6.172226951609012,5,446329.80100000004
qwen,prompt1_zeroshot,bamboo,pearson,0.28315167580906364,0.055548496802326645,0.21891335003752033,0.34320120743907956,5,310302.352
qwen,prompt1_zeroshot,bamboo,spearman,0.30579668011632416,0.075560350281573,0.20126815087088795,0.37145850322625124,5,310302.352
qwen,prompt1_zeroshot,bamboo,mae,2.1790476190476187,0.07107850726493438,2.1333333333333333,2.3047619047619046,5,310302.352
qwen,prompt1_zeroshot,bamboo,rmse,2.707447345510397,0.09268042155413364,2.596701204000403,2.851899951494325,5,310302.352
qwen,prompt1_zeroshot,clover,pearson,0.557859642675824,0.10090981530036124,0.4136306214450737,0.6749883836852146,5,209677.408
qwen,prompt1_zeroshot,clover,spearman,0.5519967719027102,0.06450857275326208,0.4579846712526349,0.6351389169730908,5,209677.408
qwen,prompt1_zeroshot,clover,mae,3.8129870129870134,0.12341079499433351,3.7012987012987013,4.0,5,209677.408
qwen,prompt1_zeroshot,clover,rmse,7.091939355725738,0.2684281280789138,6.7947649826047085,7.460719647750991,5,209677.408
qwen,prompt1_zeroshot,datamanagement,pearson,0.43848371244700673,0.024973107474170107,0.40987648429592494,0.46582061912551675,5,3002825.539
qwen,prompt1_zeroshot,datamanagement,spearman,0.41440607286561326,0.015268434486260016,0.391362847786706,0.43105092859232397,5,3002825.539
qwen,prompt1_zeroshot,datamanagement,mae,5.7743040685224845,0.037223086781545754,5.734475374732334,5.815845824411135,5,3002825.539
qwen,prompt1_zeroshot,datamanagement,rmse,12.95765647073576,0.09395277141549105,12.869672865204755,13.081117371679257,5,3002825.539
qwen,prompt1_zeroshot,duracloud,pearson,0.4352739511914357,0.04134131722621436,0.37705270897785637,0.48838563519248246,5,474611.431
qwen,prompt1_zeroshot,duracloud,spearman,0.5173938457860133,0.05018351700369955,0.4727363639289259,0.6037643758388712,5,474611.431
qwen,prompt1_zeroshot,duracloud,mae,2.3641791044776124,0.09807117314029559,2.2611940298507465,2.5074626865671643,5,474611.431
qwen,prompt1_zeroshot,duracloud,rmse,2.8946542470375958,0.1934296189438364,2.647161250579036,3.1693494788998873,5,474611.431
qwen,prompt1_zeroshot,jirasoftware_filtered,pearson,0.4338407495401576,0.06955911008095902,0.3608373145963493,0.5320749661358936,5,239626.32899999997
qwen,prompt1_zeroshot,jirasoftware_filtered,spearman,0.4044802880037889,0.054895600617969956,0.35500547573572,0.498293987921465,5,239626.32899999997
