source_filename,csv_filename,count,mae,rmse,pearson,spearman,predicted_mean,actual_mean,total_rows,valid_predictions,output_folder
appceleratorstudio,appceleratorstudio.csv,2919,3.5871873929427887,5.714067313400854,0.3226896157930217,0.36525199068474873,8.175745118191161,5.635491606714628,2919,2919,story_point_prediction_results/Few Shot Results/story_point_prediction_gemini_fewshot_appceleratorstudio_20251130_233423
aptanastudio,aptanastudio.csv,826,4.389830508474576,7.043276807283622,0.2973563559067422,0.3438181977008743,9.037530266343826,8.030266343825666,826,826,story_point_prediction_results/Few Shot Results/story_point_prediction_gemini_fewshot_aptanastudio_20251130_234509
bamboo,bamboo.csv,520,5.7942307692307695,7.2773357339492994,0.11388702933838939,0.1943202896931193,7.980769230769231,2.421153846153846,520,520,story_point_prediction_results/Few Shot Results/story_point_prediction_gemini_fewshot_bamboo_20251130_235146
clover,clover.csv,383,7.864229765013055,10.738282216483022,0.3659616282571575,0.42615878643945065,11.248041775456919,4.553524804177545,383,383,story_point_prediction_results/Few Shot Results/story_point_prediction_gemini_fewshot_clover_20251130_235639
datamanagement,datamanagement.csv,4642,9.68914261094356,16.22482473023755,0.4152317723580087,0.38787152656861257,12.337354588539423,9.506031882809134,4642,4642,story_point_prediction_results/Few Shot Results/story_point_prediction_gemini_fewshot_datamanagement_20251201_005639
duracloud,duracloud.csv,665,8.415037593984962,11.21465207006582,0.44093247521103346,0.4656081067583269,10.46766917293233,2.118796992481203,665,665,story_point_prediction_results/Few Shot Results/story_point_prediction_gemini_fewshot_duracloud_20251201_010517
jirasoftware_filtered,jirasoftware_filtered.csv,283,8.763250883392226,13.589904796115798,0.24430226960989068,0.27724746644549364,12.321554770318022,4.328621908127208,283,283,story_point_prediction_results/Few Shot Results/story_point_prediction_gemini_fewshot_jirasoftware_filtered_20251201_010902
mesos,mesos.csv,1680,6.843452380952381,9.54778084413436,0.38147515791334186,0.4238616660396083,9.820833333333333,3.085714285714286,1680,1680,story_point_prediction_results/Few Shot Results/story_point_prediction_gemini_fewshot_mesos_20251201_013051
moodle,moodle.csv,1166,11.09605488850772,21.35098344331168,0.3438183438253344,0.2907065434230693,8.993138936535162,15.53859348198971,1166,1166,story_point_prediction_results/Few Shot Results/story_point_prediction_gemini_fewshot_moodle_20251201_014605
mule,mule.csv,888,4.951576576576577,6.861483436907427,0.3129028261803687,0.36554728046039686,9.344594594594595,5.077702702702703,888,888,story_point_prediction_results/Few Shot Results/story_point_prediction_gemini_fewshot_mule_20251201_015806
mulestudio,mulestudio.csv,730,5.147945205479452,8.348734626457695,0.13698786157242468,0.299859082193714,9.228767123287671,6.3493150684931505,730,730,story_point_prediction_results/Few Shot Results/story_point_prediction_gemini_fewshot_mulestudio_20251201_020736
springxd,springxd.csv,3525,5.681418439716312,7.794214985105463,0.33994404229960024,0.4044377666846168,9.04595744680851,3.697021276595745,3525,3525,story_point_prediction_results/Few Shot Results/story_point_prediction_gemini_fewshot_springxd_20251201_025310
talenddataquality,talenddataquality.csv,1381,4.930485155684287,7.601449993162605,0.23888146697010526,0.2988210134276053,8.549601737871107,5.923244026068066,1381,1381,story_point_prediction_results/Few Shot Results/story_point_prediction_gemini_fewshot_talenddataquality_20251201_031145
talendesb,talendesb.csv,868,9.762672811059907,13.206181348385748,0.3685741968714495,0.48505799686644807,11.90783410138249,2.161290322580645,868,868,story_point_prediction_results/Few Shot Results/story_point_prediction_gemini_fewshot_talendesb_20251201_032346
titanium,titanium.csv,2251,4.442025766326077,6.765573869400804,0.26404382532978216,0.2530015073433839,8.339404709018215,6.315859617947579,2251,2251,story_point_prediction_results/Few Shot Results/story_point_prediction_gemini_fewshot_titanium_20251201_035503
usergrid,usergrid.csv,482,6.029045643153527,8.60955755702933,0.3821732361278612,0.3299244588336531,8.852697095435685,2.8526970954356847,482,482,story_point_prediction_results/Few Shot Results/story_point_prediction_gemini_fewshot_usergrid_20251201_040138
