dataset,n,spearman,kendall,pearson,mae,rmse,bias_mean,bias_std
appceleratorstudio,2919,0.36859517174255696,0.3266100707764304,0.3391962046109319,2.5628639945186706,3.7712513064738897,-2.094210346008907,3.1363385409184183
aptanastudio,829,0.37133311619331233,0.31629811355467496,0.42220806193721727,4.917973462002412,6.964237441120801,-4.295536791314837,5.481693790314216
bamboo,521,0.3212908947705794,0.2873929997373509,0.4107108046362287,1.965451055662188,2.512922456152079,1.4740882917466411,2.0351518318712403
clover,384,0.4496133463551566,0.38525871653242805,0.520821307079096,3.296875,5.743655920520774,-0.13541666666666666,5.742059357035786
datamanagement,4626,0.47025235500896406,0.3873241365657428,0.40548570768011066,7.051880674448768,16.2434329408886,-4.559446606139213,15.590399621270471
duracloud,666,0.5027239560192847,0.4505749977098389,0.4658868404648586,2.6321321321321323,3.1276640296365406,2.343843843843844,2.0709124360912985
jirasoftware_filtered,283,0.40154150048195697,0.34549485127022306,0.32034878503373104,2.293286219081272,3.460529586301473,0.15901060070671377,3.456874404217014
mesos,1680,0.45486890051280554,0.39973406367524256,0.4237540877610576,1.8166666666666667,2.5457714706847474,1.1083333333333334,2.2918441489714354
moodle,1166,0.443787553218715,0.36923401241592446,0.4134533895590123,12.168096054888508,23.756988680159534,-11.46140651801029,20.809389029429465
mule,889,0.4413582599007253,0.3836370402576332,0.4198201668849665,2.3329583802024745,3.2871567235354577,-0.81214848143982,3.1852494673383687
mulestudio,732,0.27442046295712413,0.23690127055425472,0.17414316722202272,3.3360655737704916,5.785085402546284,-2.109289617486339,5.386846055375857
springxd,3522,0.4282490343441184,0.3699107011018987,0.4137575691761758,2.0090857467348098,3.0027433982871137,0.5417376490630323,2.9534705408289588
talenddataquality,1381,0.3245473481259511,0.27392580568099795,0.35220939353607605,3.385228095582911,5.139262619789236,-1.6763215061549601,4.858185513457189
talendesb,868,0.4502208190103054,0.39909482246276334,0.3999570094737991,2.838709677419355,3.5070698838926653,2.7027649769585254,2.234860319982727
titanium,2251,0.3258960659249513,0.27987546987915346,0.3567789442047311,3.190581963571746,5.175464104634123,-2.025766326077299,4.762530786303388
usergrid,481,0.24369944126510446,0.21605477334392514,0.266629941082289,1.9521829521829521,2.8573136272102095,1.6985446985446986,2.297648160899937
