dataset,n_total,n_valid,n_errors,accuracy,precision_1,recall_1,f1_1,precision_-1,recall_-1,f1_-1,macro_f1,cohen_kappa,mcc,tp,tn,fp,fn
appceleratorstudio,2919,2919,0,0.5697156560465912,0.698744769874477,0.5487404162102957,0.6147239263803681,0.44511784511784513,0.6047575480329369,0.5128006206361521,0.5637622735082601,0.14319046724306672,0.14860221577092786,1002,661,432,824
aptanastudio,829,829,0,0.5645355850422196,0.7881136950904393,0.5222602739726028,0.6282183316168898,0.36877828054298645,0.6653061224489796,0.4745269286754003,0.551372630146145,0.15207554760967068,0.17154492850861072,305,163,82,279
bamboo,521,521,0,0.6122840690978887,0.3395348837209302,0.5488721804511278,0.41954022988505746,0.803921568627451,0.634020618556701,0.7089337175792507,0.5642369737321541,0.15208108412961863,0.1619788631449445,73,246,142,60
clover,384,384,0,0.6015625,0.46511627906976744,0.7246376811594203,0.56657223796034,0.7751479289940828,0.532520325203252,0.6313253012048192,0.5989487695825796,0.22909777987718472,0.248567626102045,100,131,115,38
datamanagement,4667,4667,0,0.5834583244053996,0.5822081016679904,0.6217133163698049,0.601312551271534,0.5849232201023732,0.5443915114768298,0.5639300134589502,0.5826212823652421,0.16622450558769797,0.16661728430882183,1466,1257,1052,892
duracloud,666,666,0,0.5075075075075075,0.23891625615763548,0.8362068965517241,0.3716475095785441,0.926923076923077,0.4381818181818182,0.5950617283950618,0.48335461898680293,0.13813619506036456,0.21331770075707385,97,241,309,19
jirasoftware_filtered,284,284,0,0.6654929577464789,0.6026490066225165,0.7222222222222222,0.6570397111913358,0.7368421052631579,0.620253164556962,0.6735395189003437,0.6652896150458397,0.3357297616702777,0.3409799845315582,91,98,60,35
mesos,1680,1680,0,0.5541666666666667,0.3905325443786982,0.7514231499051234,0.5139519792342635,0.8033033033033034,0.4640069384215091,0.5882352941176471,0.5510936366759553,0.1722254237154336,0.20434792337335184,396,535,618,131
moodle,1166,1166,0,0.5840480274442539,0.7859477124183006,0.5760479041916168,0.6648237733241189,0.36101083032490977,0.6042296072507553,0.4519774011299435,0.5584005872270312,0.14981613501673285,0.16276768835043223,481,200,131,354
mule,889,889,0,0.6051743532058492,0.6277777777777778,0.6932515337423313,0.6588921282798834,0.5702005730659025,0.4975,0.5313751668891856,0.5951336475845346,0.19299075934733534,0.1943313512308536,339,199,201,150
mulestudio,732,732,0,0.5956284153005464,0.6986301369863014,0.5782312925170068,0.6327543424317618,0.49318801089918257,0.6219931271477663,0.5501519756838906,0.5914531590578262,0.1917093806656669,0.19597621626499132,255,181,110,186
springxd,3526,3526,0,0.5964265456608054,0.47935656836461127,0.6641901931649331,0.5568358766739333,0.7278747742323901,0.5545871559633028,0.6295235615725071,0.5931797191232202,0.20374944893250813,0.21292609936233095,894,1209,971,452
talenddataquality,1381,1381,0,0.5850832729905865,0.6529968454258676,0.5397653194263363,0.5910064239828694,0.5274431057563588,0.6416938110749185,0.5789860396767083,0.5849962318297888,0.17762165813609077,0.18094882328773423,414,394,220,353
talendesb,868,868,0,0.5241935483870968,0.2813688212927757,0.8087431693989071,0.41748942172073344,0.8976608187134503,0.4481751824817518,0.5978578383641675,0.5076736300424505,0.15231167946729218,0.21446678075680453,148,307,378,35
titanium,2251,2251,0,0.6023989338071968,0.6790633608815427,0.6968197879858657,0.6878269968608302,0.46307884856070086,0.44258373205741625,0.4525993883792049,0.5702131926200176,0.14067735087485067,0.14076620454845756,986,370,466,429
usergrid,501,501,0,0.5528942115768463,0.37398373983739835,0.5679012345679012,0.45098039215686275,0.7254901960784313,0.5457227138643068,0.622895622895623,0.5369380075262429,0.10007698229407247,0.10631378727544705,92,185,154,70
AGGREGATE,23264,23264,0,0.5809834938101788,0.5674880763116057,0.6237113402061856,0.5942728710563556,0.5968738300262074,0.5396006092401422,0.5667940627499778,0.5805334669031668,0.1630576944073531,0.16383608680245934,7139,6377,5441,4307
