source_filename,csv_filename,total_rows,output_folder,master_folder,n_total,n_valid,n_missing,accuracy_exact,mae,mse,rmse,pearson,spearman,predicted_mean,ground_truth_mean,predicted_std,ground_truth_std
appceleratorstudio,appceleratorstudio.csv,2919,story_point_prediction_results/gemini_fewshot/20260130_125117/appceleratorstudio,story_point_prediction_results/gemini_fewshot/20260130_125117,2919,2916,3,0.29252400548696844,2.3645404663923184,12.79252400548697,3.576663809402132,0.35104174327422255,0.35933300577017635,3.9564471879286693,5.636488340192044,1.6820583642092075,3.3277603427840727
aptanastudio,aptanastudio.csv,829,story_point_prediction_results/gemini_fewshot/20260130_125117/aptanastudio,story_point_prediction_results/gemini_fewshot/20260130_125117,829,827,2,0.10882708585247884,4.944377267230955,49.314389359129386,7.022420477237844,0.36237615484569363,0.31880279615302615,3.7569528415961306,8.019347037484884,1.5983297581954727,5.961101760398082
bamboo,bamboo.csv,521,story_point_prediction_results/gemini_fewshot/20260130_125117/bamboo,story_point_prediction_results/gemini_fewshot/20260130_125117,521,519,2,0.18689788053949905,2.138728323699422,8.227360308285164,2.868337551,0.2518634143065442,0.31604478928066676,4.009633911368016,2.421965317919075,1.7236442439262227,2.147365088905391
clover,clover.csv,384,story_point_prediction_results/gemini_fewshot/20260130_125117/clover,story_point_prediction_results/gemini_fewshot/20260130_125117,384,341,43,0.16422287390029325,3.4281524926686218,35.30498534,5.941799839883821,0.5172703982656542,0.5059299264319557,4.844574780058651,4.618768328445748,2.311583658410976,6.80320856
datamanagement,datamanagement.csv,4667,story_point_prediction_results/gemini_fewshot/20260130_125117/datamanagement,story_point_prediction_results/gemini_fewshot/20260130_125117,4667,4660,7,0.096781116,7.337339055793992,282.15922746781115,16.79759588357248,0.29022267813194547,0.37173067033485946,4.571244635193133,9.573390557939915,2.7299326074923664,16.615314107632635
duracloud,duracloud.csv,666,story_point_prediction_results/gemini_fewshot/20260130_125117/duracloud,story_point_prediction_results/gemini_fewshot/20260130_125117,666,664,2,0.10240963855421686,2.4984939759036147,9.305722891566266,3.050528297125969,0.5686548630731731,0.5821987478335554,4.408132530120482,2.1295180722891565,2.306262732,2.033231253446012
jirasoftware_filtered,jirasoftware_filtered.csv,284,story_point_prediction_results/gemini_fewshot/20260130_125117/jirasoftware_filtered,story_point_prediction_results/gemini_fewshot/20260130_125117,284,284,0,0.28169014084507044,2.1795774647887325,12.96830985915493,3.6011539621564266,0.24470430116487357,0.3450384472540453,3.8274647887323945,4.323943661971831,1.9449543080082587,3.510809749799654
mesos,mesos.csv,1680,story_point_prediction_results/gemini_fewshot/20260130_125117/mesos,story_point_prediction_results/gemini_fewshot/20260130_125117,1680,1675,5,0.24597014925373134,2.0113432835820895,7.757014925373134,2.785141814230136,0.46246806164224197,0.4883403939132745,4.443582089552239,3.0865671641791046,2.262020659,2.423309712948592
moodle,moodle.csv,1166,story_point_prediction_results/gemini_fewshot/20260130_125117/moodle,story_point_prediction_results/gemini_fewshot/20260130_125117,1166,1156,10,0.096885813,12.365916955017301,572.8416955017301,23.934111546111964,0.4358486582199253,0.3975833005081388,3.8209342560553634,15.512110726643598,1.9668097514176084,21.675545908529056
mule,mule.csv,889,story_point_prediction_results/gemini_fewshot/20260130_125117/mule,story_point_prediction_results/gemini_fewshot/20260130_125117,889,888,1,0.2905405405405405,2.345720720720721,11.269144144144144,3.3569545936971124,0.39114808923130284,0.39845136319849933,4.487612612612613,5.083333333333333,2.1134304355759785,3.499369138399006
mulestudio,mulestudio.csv,732,story_point_prediction_results/gemini_fewshot/20260130_125117/mulestudio,story_point_prediction_results/gemini_fewshot/20260130_125117,732,723,9,0.26556016597510373,3.327800829875519,32.69156293222683,5.717653621217958,0.1932108379696825,0.30526188809477217,4.441217150760719,6.352697095435684,2.2037024149523146,5.365719423494622
springxd,springxd.csv,3526,story_point_prediction_results/gemini_fewshot/20260130_125117/springxd,story_point_prediction_results/gemini_fewshot/20260130_125117,3526,3375,151,0.25925925925925924,1.9297777777777778,9.008296296296296,3.001382397545554,0.45127749017052066,0.4726369526481182,4.148740740740741,3.6654814814814816,2.1172879267670415,3.2374571512748127
talenddataquality,talenddataquality.csv,1381,story_point_prediction_results/gemini_fewshot/20260130_125117/talenddataquality,story_point_prediction_results/gemini_fewshot/20260130_125117,1381,1372,9,0.20626822157434402,3.2842565597667637,25.931486880466473,5.092296817789245,0.3934109671579412,0.393484838,4.141399416909621,5.905247813411079,2.2606532806636443,5.1925493820619595
talendesb,talendesb.csv,868,story_point_prediction_results/gemini_fewshot/20260130_125117/talendesb,story_point_prediction_results/gemini_fewshot/20260130_125117,868,857,11,0.073512252,3.5239206534422403,17.12252042007001,4.1379367346625795,0.4427114797045971,0.49253715046073504,5.563593932322053,2.1680280046674447,2.6103639885413337,1.5030358559467407
titanium,titanium.csv,2251,story_point_prediction_results/gemini_fewshot/20260130_125117/titanium,story_point_prediction_results/gemini_fewshot/20260130_125117,2251,2242,9,0.22702943800178413,3.2685102586975914,27.094558429973237,5.205243359341928,0.33663330487359305,0.32711348572064197,4.296610169491525,6.307314897413024,1.9865404123840185,5.091718347681917
usergrid,usergrid.csv,501,,,501,,,,1.85,,,0.327,0.312,,,,
