model,prompt_type,MAE,RMSE,Pearson_Correlation,Spearman_Correlation,Exact_Accuracy_%,Relaxed_Accuracy_%,Sample_Size
Gemini,FewShotExamples,6.641016773301055,11.244296496468841,0.32302281432705715,0.272758668579669,13.409994812381118,16.496628047726094,23132
Gemini,FileBased,6.315437987857762,11.17474540883587,0.3617525074789946,0.27559314534089907,14.761491760624457,17.580225498699047,23060
OpenAI,FewShotExamples,5.365554210617327,10.66918812782557,0.259032411355419,0.2682911697877408,16.366937575652777,23.61663496455127,23132
OpenAI,FileBased,6.099219427580225,17.057224741195128,0.26381874018025353,0.3798011770206233,16.951431049436252,24.384215091066782,23060
