model,prompt_type,combination,Exact Match,Off by 1,Off by >1
Gemini,FewShotExamples,Gemini + FewShotExamples,13.409994812381118,3.0866332353449764,83.50337195227391
Gemini,FileBased,Gemini + FileBased,14.761491760624457,2.818733738074588,82.41977450130096
OpenAI,FewShotExamples,OpenAI + FewShotExamples,16.366937575652777,7.249697388898496,76.38336503544872
OpenAI,FileBased,OpenAI + FileBased,16.951431049436252,7.432784041630529,75.61578490893322
