dataset,n_total,n_valid,n_ties,n_pred_ties,n_gt_ties,n_missing,accuracy,precision_1,recall_1,f1_1,precision_-1,recall_-1,f1_-1,macro_f1,cohen_kappa,mcc,tp,tn,fp,fn
appceleratorstudio,2919,2153,761,761,0,5,0.6075243845796563,0.7997364953886693,0.46692307692307694,0.5896066051481301,0.5028694404591105,0.8218053927315357,0.6239430351579884,0.6067748201530593,0.26034110050019776,0.29558577226539734,607,701,152,693
aptanastudio,829,607,221,221,0,1,0.5749588138385503,0.8546255506607929,0.4630071599045346,0.6006191950464397,0.40789473684210525,0.824468085106383,0.545774647887324,0.5731969214668818,0.2243234140349487,0.2747145499791232,194,155,33,225
bamboo,521,377,143,143,0,1,0.6790450928381963,0.4303030303030303,0.7244897959183674,0.5399239543726235,0.8726415094339622,0.6630824372759857,0.7535641547861507,0.6467440545793871,0.31722321174656865,0.3426556460937155,71,185,94,27
clover,384,282,102,102,0,0,0.7198581560283688,0.6040268456375839,0.8181818181818182,0.694980694980695,0.849624060150376,0.6569767441860465,0.740983606557377,0.717982150769036,0.4466193054796562,0.4642802087221537,90,113,59,20
datamanagement,4667,3561,1100,1100,0,6,0.6925021061499579,0.6803827751196172,0.7690643591130341,0.722010662604722,0.7097212780421482,0.6098130841121495,0.6559849198868991,0.6889977912458105,0.3808637052098942,0.38444977078119164,1422,1044,668,427
duracloud,666,499,166,166,0,1,0.627254509018036,0.3192307692307692,0.9021739130434783,0.4715909090909091,0.9623430962343096,0.5651105651105651,0.7120743034055728,0.591832606248241,0.27380132699048565,0.36273281735413215,83,230,177,9
jirasoftware_filtered,284,221,63,63,0,0,0.6923076923076923,0.6379310344827587,0.74,0.6851851851851852,0.7523809523809524,0.6528925619834711,0.6991150442477876,0.6921501147164864,0.3875122269318553,0.3916001487381514,74,79,42,26
mesos,1680,1245,432,432,0,3,0.672289156626506,0.4967532467532468,0.7574257425742574,0.6,0.8441971383147854,0.6313912009512486,0.7224489795918367,0.6612244897959183,0.34216728915319383,0.36409790800826713,306,531,310,98
moodle,1166,857,307,307,0,2,0.5904317386231038,0.8276762402088773,0.526578073089701,0.6436548223350254,0.3987341772151899,0.7411764705882353,0.5185185185185185,0.5810866704267719,0.21462979063373822,0.2462162017441423,317,189,66,285
mule,889,663,226,226,0,0,0.6907993966817496,0.7193460490463215,0.7213114754098361,0.7203274215552524,0.6554054054054054,0.6531986531986532,0.654300168634064,0.6873137950946582,0.3746290289184898,0.37463077209825496,264,194,103,102
mulestudio,732,541,191,191,0,0,0.6377079482439926,0.7275985663082437,0.628482972136223,0.6744186046511628,0.5419847328244275,0.6513761467889908,0.5916666666666667,0.6330426356589147,0.2709696936362136,0.27467315954097465,203,142,76,120
springxd,3526,2642,878,878,0,6,0.6661619984859954,0.5473282442748092,0.7127236580516899,0.6191709844559585,0.7830330330330331,0.6375305623471883,0.7028301886792453,0.6610005865676019,0.33099560398168093,0.3401623606947657,717,1043,593,289
talenddataquality,1381,1030,348,348,0,3,0.6893203883495146,0.772093023255814,0.5992779783393501,0.6747967479674797,0.63,0.7941176470588235,0.7026022304832714,0.6886994892253755,0.3863111640723915,0.3977205505778691,332,378,98,222
talendesb,868,677,189,189,0,2,0.5790251107828656,0.34057971014492755,0.9215686274509803,0.4973544973544973,0.9543726235741445,0.47900763358778625,0.6378653113087674,0.5676099043316324,0.24975211431904343,0.34373085841373685,141,251,273,12
titanium,2251,1617,633,633,0,1,0.66852195423624,0.7692307692307693,0.6559031281533805,0.7080610021786492,0.5582901554404145,0.6884984025559105,0.6165951359084406,0.6623280690435449,0.3302184970580099,0.33585518872883,650,431,195,341
usergrid,501,363,119,119,0,19,0.5895316804407713,0.4293193717277487,0.6721311475409836,0.5239616613418531,0.7674418604651163,0.5477178423236515,0.639225181598063,0.5815934214699581,0.1929120346191151,0.20798499499272124,82,132,109,40
AGGREGATE,23264,17335,5879,5879,0,50,0.6548024228439573,0.6456226020230206,0.654140652609259,0.6498537156231714,0.6638424547744447,0.6554374858693195,0.659613196814562,0.6547334562188667,0.3094957422273219,0.3095215924738157,5553,5798,3048,2936
