dataset,count,mae,rmse,pearson,spearman,predicted_mean,actual_mean,total_rows,valid_predictions
appceleratorstudio,2914,2.263555,3.499191,0.304449,0.320764,4.544269,5.634866,2914,2914
aptanastudio,821,4.580999,6.545354,0.331589,0.265404,4.708892,8.042631,821,821
bamboo,510,4.188235,5.031664,0.388153,0.302446,6.415686,2.341176,515,510
clover,375,4.392000,6.095025,0.549466,0.459912,7.144000,4.437333,379,375
datamanagement,4634,10.745145,18.483794,0.406662,0.419004,14.040785,9.484678,4638,4634
duracloud,661,1.391831,1.999243,0.433936,0.519124,2.898638,2.121029,661,661
jirasoftware_filtered,275,3.385455,4.926736,0.303977,0.418314,6.396364,4.232727,279,275
mesos,1675,1.562388,2.350103,0.406670,0.453183,3.574925,3.083582,1675,1675
moodle,1161,11.107666,21.566275,0.398499,0.357279,7.913006,15.563307,1161,1161
mule,883,2.471121,3.474222,0.379548,0.394739,3.902605,5.084938,883,883
mulestudio,721,5.104022,7.746683,0.233237,0.337848,8.626907,6.316227,726,721
springxd,3515,6.003414,8.440167,0.369161,0.432963,9.192319,3.669701,3520,3515
talenddataquality,1372,4.565598,7.100589,0.343460,0.364711,7.704082,5.883382,1376,1372
talendesb,863,2.801854,3.413218,0.374413,0.468307,4.791425,2.151796,863,863
titanium,2246,3.085931,4.938220,0.348707,0.309563,5.160730,6.316118,2246,2246
usergrid,472,1.593220,2.347916,0.231503,0.196562,4.002119,2.832627,477,472
